Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Diameter,Draw Note Price Horizontal Line
NQM6.CME@BMD,28225,CW 28225 | 23M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,28175,CW 28175 | 10M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,28165,CW 28165 | 13M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,28125,CW 28125 | 37M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,28075,CW 28075 | 26M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,28065,CW 28065 | 9M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,28045,CW 28045 | 14M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,28025,CW 28025 | 13M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,28005,CW 28005 | 48M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,27975,CW 27975 | 24M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,27966,PDH 27966,#ffffff,#555555,left,2,TRUE
NQM6.CME@BMD,27965,CW 27965 | 10M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,27943,EM High 27943,#000000,#00ccff,left,2,TRUE
NQM6.CME@BMD,27935,CW 27935 | 10M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,27925,CW 27925 | 23M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,27917,PWH 27917,#ffffff,#333333,left,2,TRUE
NQM6.CME@BMD,27905,CW 27905 | 37M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,27895,CW 27895 | 9M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,27845,CW 27845 | 6M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,27835,CW 27835 | 7M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,27815,PW 27815 | 12M,#ffffff,#006600,left,2,TRUE
NQM6.CME@BMD,27805,CW 27805 | 8M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,27795,PW 27795 | 12M,#ffffff,#006600,left,2,TRUE
NQM6.CME@BMD,27775,CW 27775 | 11M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,27725,CW 27725 | 20M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,27675,CW 27675 | 15M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,27655,PW 27655 | 7M,#ffffff,#006600,left,2,TRUE
NQM6.CME@BMD,27645,PW 27645 | 6M,#ffffff,#006600,left,2,TRUE
NQM6.CME@BMD,27625,CW 27625 | 24M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,27613,PDL 27613,#ffffff,#555555,left,2,TRUE
NQM6.CME@BMD,27611,EM Low 27611,#000000,#00ccff,left,2,TRUE
NQM6.CME@BMD,27595,PW 27595 | 6M,#ffffff,#006600,left,2,TRUE
NQM6.CME@BMD,27545,CW 27545 | 6M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,27525,PW 27525 | 18M,#ffffff,#006600,left,2,TRUE
NQM6.CME@BMD,27475,PW 27475 | 8M,#ffffff,#006600,left,2,TRUE
NQM6.CME@BMD,27365,MaxPain 27365,#ffffff,#6600cc,left,2,TRUE
NQM6.CME@BMD,27188,Vol High 27188,#000000,#99ccff,left,2,TRUE
NQM6.CME@BMD,27105,ZG 27105,#000000,#FFD700,left,2,TRUE
NQM6.CME@BMD,27022,Vol Low 27022,#000000,#99ccff,left,2,TRUE
NQM6.CME@BMD,27010,PWL 27010,#ffffff,#333333,left,2,TRUE
