Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Diameter,Draw Note Price Horizontal Line
NQM6.CME@BMD,30008,CW 30008 | 33M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29978,CW 29978 | 75M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29958,CW 29958 | 15M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29908,CW 29908 | 52M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29898,CW 29898 | 13M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29858,CW 29858 | 24M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29818,CW 29818 | 19M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29808,CW 29808 | 32M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29768,CW 29768 | 112M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29748,CW 29748 | 26M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29738,CW 29738 | 25M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29716,EM High 29716,#000000,#00ccff,left,2,TRUE
NQM6.CME@BMD,29708,CW 29708 | 38M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29658,CW 29658 | 20M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29608,CW 29608 | 32M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29580,Vol High 29580,#000000,#99ccff,left,2,TRUE
NQM6.CME@BMD,29566,PDH 29566,#ffffff,#555555,left,2,TRUE
NQM6.CME@BMD,29558,CW 29558 | 20M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29528,CW 29528 | 21M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29508,CW 29508 | 73M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29468,PW 29468 | 26M,#ffffff,#006600,left,2,TRUE
NQM6.CME@BMD,29460,ZG 29460,#000000,#FFD700,left,2,TRUE
NQM6.CME@BMD,29408,PW 29408 | 36M,#ffffff,#006600,left,2,TRUE
NQM6.CME@BMD,29387,PWH 29387,#ffffff,#333333,left,2,TRUE
NQM6.CME@BMD,29339,Vol Low 29339,#000000,#99ccff,left,2,TRUE
NQM6.CME@BMD,29308,CW 29308 | 40M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29234,EM Low 29234,#000000,#00ccff,left,2,TRUE
NQM6.CME@BMD,29178,MaxPain 29178,#ffffff,#6600cc,left,2,TRUE
NQM6.CME@BMD,29056,PDL 29056,#ffffff,#555555,left,2,TRUE
NQM6.CME@BMD,27613,PWL 27613,#ffffff,#333333,left,2,TRUE
